Image_Name: Unicode_Text
219_P019_B3_L02_W03.tif : ಒದಗಿಸುತ್ತದೆ.
219_P019_B5_L01_W01.tif : ಪರಾಮಶೆ೯
219_P019_B5_L04_W02.tif : ಅವಗಣಿಸಿ
219_P019_B5_L07_W03.tif : ವಿಶಾಲ
219_P020_B3_L01_W01.tif : ವಾಣಿಜ್ಯ
219_P020_B3_L02_W01.tif : ವಿಕ್ಸೆಲನ
219_P020_B3_L07_W02.tif : ವಾಣಿಜ್ಯ
219_P020_B3_L12_W04.tif : ಸ೦ಘಟನೆಯೊ೦ದನ್ನು
219_P020_B3_L16_W03.tif : ಅನಿಯಮಿತ
219_P020_B3_L17_W03.tif : ಈಗ
219_P020_B4_L03_W02.tif : “ಇ೦ದಿಗೂ
219_P020_B5_L02_W06.tif : ವಾಣಿಜ್ಯ
219_P020_B5_L03_W07.tif : ‘ವೆಲ್ತ
219_P021_B2_L06_W06.tif : ಮತ್ತು
219_P021_B3_L01_W01.tif : ವಾಣಿಜ್ಯ
219_P021_B3_L04_W03.tif : ಯುದ್ಧದ
219_P021_B3_L05_W07.tif : ವಾಣಿಜ್ಯ
219_P021_B3_L07_W05.tif : ವಾಣಿಜ್ಯ
219_P021_B4_L01_W04.tif : ರಾಷ್ಟ್ರವನ್ನು
219_P021_B4_L01_W05.tif : ರಕ್ಷಣಾ
219_P021_B5_L01_W05.tif : ವಾಣಿಜ್ಯ
219_P021_B5_L01_W08.tif : ಮೂರು
219_P021_B5_L03_W04.tif : ತಳಿದಿದ್ದರು.
219_P022_B3_L06_W08.tif : ಭೌತಿಕ
219_P022_B3_L08_W07.tif : ನೀಡುತ್ತದೆ.
219_P022_B4_L02_W03.tif : ಸ೦ಭವಿಸಿತು.
219_P022_B4_L04_W02.tif : ರಾಷ್ಟ್ರೀಯ
219_P022_B4_L10_W03.tif : ಬೆಳೆಯಲು
219_P023_B3_L08_W08.tif : ಇತರ
219_P023_B3_L10_W05.tif : ತತ್ವಶಾಸ್ತ್ರಜ್ಞಾರುಗಳನ್ನು,
219_P023_B4_L03_W04.tif : ವ್ಯವಸಾಯ
219_P023_B5_L01_W03.tif : ಉದಯಕ್ಕೆ
219_P023_B6_L03_W03.tif : ಬಹುಸ೦ಖ್ಯಾತರು
219_P024_B2_L03_W06.tif : ಅಲುಗಾಡಿಸಿ,
219_P024_B2_L05_W04.tif : ಮು೦ತಾದ
219_P024_B2_L06_W02.tif : ಹೊಡೆದೋಡಿಸಿ,
219_P024_B4_L02_W06.tif : ಪೀಡಿಸುತ್ತದ್ದುದರಿ೦ದ
219_P024_B4_L04_W05.tif : ದು೦ದುವೆಚ್ಚಗಳು
219_P024_B4_L06_W02.tif : ಹೊರತುಪಡಿಸಿ,
219_P025_B2_L04_W02.tif : ತರ್ಜುಮೆಗೊ೦ಡವು.
219_P025_B2_L04_W05.tif : ಜನಪೀಯವಾಯಿತು.
219_P025_B4_L01_W04.tif : ತತ್ವಗಳು
219_P025_B5_L01_W01.tif : ವ್ಯವಸಾಯ
219_P025_B5_L02_W04.tif : ವಿಭಜಿಸಲಾಗುತ್ತದೆ.
219_P025_B6_L03_W02.tif : ಮತ್ತು
219_P025_B7_L01_W03.tif : ವ್ಯವಸ್ಥೆಯ
219_P025_B7_L05_W04.tif : ನಿರ್ಮಾಣವಾಗಿದ್ದು,
219_P025_B7_L06_W02.tif : ಸಾಧಿಸುತ್ತದೆ.
219_P025_B7_L06_W05.tif : ವ್ಯವಸಾಯ
219_P025_B8_L03_W04.tif : ಪರಿಪೂರ್ಣವಾಗಿದೆ
219_P026_B2_L03_W07.tif : ನೀಯಮಗಳಾಗಿವೆ.
219_P026_B4_L01_W05.tif : ಮುಕ್ತ
219_P026_B5_L03_W04.tif : ಮೂಲವೆನ್ನುವುದು
219_P026_B5_L04_W04.tif : ನಿರುಪಯೋಗಿ
219_P026_B5_L05_W02.tif : ಯಾವುದೇ
219_P026_B5_L05_W04.tif : ಅರ್ಥವ್ಯವಸ್ಥೆಯ
219_P026_B6_L02_W03.tif : ಶ್ರಮವಹಿಸುವುದು.
219_P026_B6_L03_W04.tif : ಸಮಾಜದ
219_P027_B2_L03_W05.tif : ಪಡಿಸುದಷ್ಟೇ
219_P027_B2_L04_W01.tif : ವ್ಯಾಪಾರ
219_P027_B2_L07_W01.tif : ವ್ಯತ್ಯಾಸವಾಗಿರುತ್ತದೆ.
219_P027_B2_L07_W02.tif : ಉತ್ಪಾದನೆಯೆ೦ದರೆ
219_P027_B3_L02_W03.tif : ಪ೦ಥೀಯರು
219_P027_B5_L02_W05.tif : ಬಯಸಿದ್ದರು
219_P028_B2_L03_W03.tif : ಖರ್ಚಿಗಾಗಿ
219_P028_B2_L03_W04.tif : ಬಳಸುತ್ತಾರೆ.
219_P028_B2_L05_W01.tif : ಪಡೆಯುತ್ತಾರೆ.
219_P028_B2_L05_W02.tif : ಉಳಿದ
219_P028_B2_L08_W06.tif : ವರ್ತಕರು
219_P028_B2_L11_W05.tif : ಪಡೆಯುದಕ್ಕಾಗಿ
219_P028_B2_L12_W07.tif : ೦ದೆ
219_P028_B4_L02_W06.tif : ತೊ೦ದರೆಯಾಗದ೦ತೆ
219_P028_B4_L03_W08.tif : ಅವರು
219_P028_B4_L05_W04.tif : ಮನವಿ
219_P028_B4_L07_W02.tif : ಸರಕಾರವು
219_P030_B2_L02_W03.tif : ನಿಯೋಜಿಸದೆ.
219_P030_B2_L03_W02.tif : ಸೀಮಿತಗೊಳಿಸಿದೆ
219_P030_B2_L04_W05.tif : ಸುರಕ್ಷಿತವಾಗಿಸಲು
219_P030_B6_L01_W04.tif : ತೆರಿಗೆಗಳು
219_P031_B2_L02_W02.tif : ತೆರಿಗೆ
219_P031_B4_L01_W02.tif : ಪ೦
219_P031_B5_L01_W06.tif : ಆದರ್ಶವು
219_P031_B5_L06_W01.tif : ಯಜಮಾನನಿಗೆ
219_P031_B5_L12_W05.tif : ನೇರವಾಗಿ
219_P031_B5_L18_W01.tif : ಮೇಲಣ
219_P031_B5_L19_W05.tif : ಮಾತ್ರ
219_P031_B5_L22_W02.tif : ಪರಿಣಾಮಕಾರಿಯಾದುದು.”
219_P033_B6_L02_W04.tif : ಪಿತನೆ೦ದು,
219_P033_B6_L03_W03.tif : ಗೌರವಿಸಲ್ಪಡುತ್ತಾನೆ.
219_P033_B6_L03_W04.tif : ಆತನ
219_P033_B6_L08_W04.tif : ಅರಿವಾಗುತ್ತದೆ.
219_P033_B6_L10_W06.tif : ಅರ್ಥಶಾಸ್ತ್ರದ
219_P033_B6_L11_W04.tif : ಹಾಗೂ
219_P033_B6_L13_W05.tif : ಪ್ರಥಮನಾಗಿದ್ದ
219_P035_B3_L01_W02.tif : ಕರಾರುವಕ್ಕಾದ
219_P035_B3_L02_W05.tif : “ಅರ್ಥಶಾಸ್ತ್ರವು
219_P035_B3_L03_W03.tif : ಹ೦ಚುವುದು
219_P035_B4_L04_W01.tif : ಮೊದಲನೆಯದು,
219_P035_B5_L01_W06.tif : ರಸ್ಕಿನ್,
219_P035_B5_L09_W02.tif : ಆಸೆಗಳ
219_P035_B5_L12_W05.tif : ಬಲವಾಗಿದ್ದು
219_P035_B5_L13_W06.tif : ತು೦ಬಿದ
219_P037_B2_L05_W05.tif : ಅಳೆಯಲಾಗುತ್ತದೆ.
219_P037_B2_L07_W04.tif : ಅ೦ದರೆ
219_P037_B3_L02_W04.tif : ಪ್ರಕಾರ
219_P037_B3_L04_W03.tif : ಆತನ
219_P037_B3_L07_W03.tif : ಉತ್ಪಾದನಾ
219_P037_B4_L08_W07.tif : ಸಾಧ್ಯವಿಲ್ಲದಿದ್ದರೆ
219_P037_B4_L10_W02.tif : ಮೌಲ್ಯವಿರಲಾರದು.
219_P037_B4_L11_W04.tif : ಮಾಕ್ಸ್
219_P037_B4_L13_W05.tif : ಮೌಲ್ಯ
219_P038_B4_L03_W05.tif : ಭಾವಿಸಲಾಗಿದೆ.
219_P038_B4_L10_W06.tif : ಸ್ಮಿತ್
219_P038_B4_L11_W02.tif : “ಪ್ರಭುತ್ವ”
219_P038_B4_L12_W05.tif : ಭೂಸೈನ್ಯ
219_P038_B5_L03_W03.tif : ಹಂತಗಳಾಗಿ
219_P039_B2_L05_W03.tif : ಇಲ್ಲದಿದ್ದರೆ,
219_P039_B2_L06_W02.tif : ವಿಭಜನೆಯಿಂದಾಗಿ,
219_P039_B3_L04_W03.tif : ಉಂಟುಮಾಡುತ್ತದೆ.
219_P039_B5_L07_W05.tif : ಇಳಿಸುವಾತನ
219_P040_B2_L03_W03.tif : ಬಂದವಲವು
219_P040_B2_L05_W06.tif : ಸಂಚಯನವು
219_P040_B2_L06_W01.tif : ವಾದುದು.
219_P040_B2_L07_W01.tif : ಬರುವಂತಹದ್ದು”
219_P040_B3_L04_W03.tif : ತಕ್ಷಣ
219_P040_B3_L05_W01.tif : ಬಂಡವಾಳ
219_P040_B4_L02_W07.tif : ಮೂಲ
219_P040_B5_L04_W02.tif : ಸರಕಾರ
219_P040_B6_L02_W04.tif : ದೋಷಗಳಿಂದಾಗಿ
219_P041_B2_L01_W07.tif : ಮಾತ್ರವಲ್ಲ,
219_P041_B4_L03_W04.tif : ಸಂಗ್ರಹಿಸಕೂಡದು,
219_P041_B7_L05_W04.tif : ಚೌಕಾಶಿಯು
219_P043_B2_L01_W03.tif : ಬಂಡವಾಳಿಗರ
219_P043_B2_L01_W07.tif : ಚೌಕಾಶಿ
219_P043_B2_L05_W07.tif : ಅವಲಂಬಿವೆ
219_P043_B3_L03_W04.tif : ಎನ್ನುವುವಕ್ಕೆ
219_P043_B3_L08_W05.tif : ಸಂಪತ್ತಿನ
219_P043_B3_L08_W07.tif : ಕಾರಣ
219_P043_B4_L07_W07.tif : ಉದೋಗದ
219_P043_B4_L08_W01.tif : ಕಾರ್ಮಿಕನಲ್ಲಿರಿಸಿದ
219_P043_B5_L02_W03.tif : ಬಡ್ಡಿಯನ್ನು
219_P044_B2_L03_W06.tif : ಲಾಭದ
219_P044_B3_L04_W03.tif : ಪರಿಹಾರ.”
219_P044_B6_L01_W06.tif : ಸರಕಾರ]
219_P044_B6_L02_W01.tif : ಹೊದಿರಬೇಕು.
219_P044_B7_L01_W03.tif : ಹಿತಾಸಕ್ತಿಗಳು
219_P044_B7_L02_W03.tif : ಭಾವಿಸಿದ್ದ.
219_P044_B8_L01_W03.tif : ಮೂರು
219_P044_B8_L02_W04.tif : ಹಣವು
219_P044_B8_L02_W05.tif : ತೆರಿಗೆದಾರರಿಗೆ
219_P044_B8_L03_W04.tif : ಮಾಡುತ್ತದೆ.
219_P044_B8_L04_W05.tif : ವೆಚ್ಚದಾರರೂ”
219_P044_B8_L05_W05.tif : ಅಂಶವು
219_P044_B8_L07_W03.tif : ಅಸಮರ್ಥವಾಗಿರುತ್ತದೆ.
219_P044_B8_L08_W03.tif : ಆಗಿರುತ್ತಾರೆ.
219_P045_B2_L02_W01.tif : ಸಾಂಪ್ರದಾಯಿಕ
219_P045_B3_L01_W04.tif : ಹಸ್ತಕ್ಷೇಪ
219_P045_B5_L07_W03.tif : ಗೋಜಲಾಗಿದೆ
219_P045_B6_L02_W01.tif : ನಾಗಿರುವುದು
219_P045_B6_L02_W03.tif : ಕರಣಗಳಿಂದಾಗಿ
219_P045_B6_L05_W03.tif : ಉತ್ಪಾದನೆಗಷ್ಟೇ
219_P045_B6_L05_W04.tif : ಪ್ರಾಧಾನ್ಯ
219_P046_B2_L03_W08.tif : ಸ್ಥಾನವನ್ನು
219_P046_B2_L06_W01.tif : ಸ್ಮಿತನನೈಸರ್ಗಿಕವಾದ,
219_P046_B2_L10_W01.tif : ವ್ಯವಸ್ಥೆಯ
219_P046_B5_L08_W05.tif : ಹೆಣೆದುಕೊಂಡಿದ್ದ
219_P047_B2_L03_W02.tif : ಡೇವಿದ್
219_P047_B2_L06_W03.tif : ಆಗಿದ್ದು
219_P047_B2_L07_W03.tif : ಹಠವದಿಯೂ
219_P047_B2_L10_W01.tif : ಹದಿನಾಲ್ಕನೆಯ
219_P047_B2_L13_W03.tif : ಸದಸ್ಯನಾಗಿ
219_P047_B3_L03_W02.tif : ಬೆಂಥಾಮ್,
219_P047_B3_L06_W04.tif : ಆರಂಭವಾಯಿತು.
219_P047_B3_L07_W01.tif : ಶಾಸ್ತ್ರಜ್ಞನಾಗಿ
219_P047_B5_L02_W05.tif : ವಿತರಣಾತತ್ವ
219_P048_B2_L02_W01.tif : ವಿಶ್ಲೇಷಿಸುತ್ತಾನೆ
219_P048_B3_L03_W05.tif : ಉಪಯೋಗ
219_P048_B6_L02_W01.tif : ಲಾಗದ
219_P048_B6_L02_W03.tif : ಉದಾಹರಣೆಗೆ
219_P048_B6_L03_W04.tif : ಕಲಾಕೃತಿ
219_P048_B6_L04_W01.tif : ಪ್ರಮಾ
219_P048_B6_L10_W02.tif : ಹೆಚ್ಚಿಸಬಹುದಾಗಿದೆ.
219_P048_B7_L02_W02.tif : ಮೌಲ್ಯಗಳನ್ನು
219_P048_B7_L02_W05.tif : ರಿಕಾರ್ಡೋ
219_P048_B7_L09_W06.tif : ಉತ್ಪಾದನಾ
219_P049_B2_L01_W04.tif : ಉತ್ಪಾದನ
219_P049_B4_L01_W07.tif : ಒಟ್ಟು
219_P049_B4_L02_W04.tif : “ಸಂಪೂರ್ಣ
219_P049_B4_L08_W05.tif : ಸಾಹಸಿಯ
219_P049_B5_L03_W05.tif : ರಿಕರ್ಡೋ
219_P049_B6_L01_W06.tif : ಅವನ
219_P049_B6_L05_W07.tif : ಹೇಳಿಕಗಳನ್ನು
219_P050_B2_L01_W05.tif : ಶ್ರಮ
219_P050_B2_L08_W04.tif : ಸಂಕೀರ್ಣವಾಗುತ್ತದೆ
219_P050_B3_L01_W02.tif : ಟರೆನ್ಸ್
219_P050_B3_L04_W04.tif : ಅಭಿಪ್ರಾಯದಂತೆ
219_P050_B3_L06_W06.tif : “ಮಲ್ಯವನ್ನು
219_P050_B4_L06_W04.tif : ಇದೇ
219_P050_B4_L09_W02.tif : ಕಾಂಡಕ್ಕೆ
219_P051_B3_L02_W03.tif : ಕಡಿಮೆ
219_P051_B5_L02_W04.tif : ಸ್ಮಿತ್,
219_P051_B5_L10_W02.tif : ಆದುದರಿಂದ
219_P052_B2_L01_W07.tif : ಭಗವಾಗಿದೆ.”
219_P052_B4_L01_W02.tif : ಗೇಣಿಯು
219_P052_B5_L01_W05.tif : ಮಿತಿಯುಳ್ಳದು.
219_P052_B5_L02_W02.tif : ಭುಮಿಯು
219_P052_B9_L01_W05.tif : ಭೂಮಿ
219_P052_B11_L03_W01.tif : ದಿಂದಾಗಿ
219_P052_B13_L03_W04.tif : ರಿಕರ್ಡೋ
219_P053_B2_L01_W06.tif : ಆರಂಭವದಾಗ,
219_P053_B2_L04_W06.tif : ಹಗೆ,
219_P053_B2_L06_W02.tif : ಎಂದಿದ್ದಾನೆ
219_P053_B3_L03_W06.tif : ನೀಡಲಗುತ್ತದೆ
219_P053_B3_L06_W03.tif : ಶಕ್ತಿಯ
219_P053_B3_L06_W07.tif : ಶಕ್ತಿಯ
219_P053_B3_L08_W02.tif : ಸಾಧ್ಯವಿದೆ.
219_P053_B3_L08_W06.tif : ಸ್ಥಿತಿಸ್ಥಾಪಕ
219_P053_B3_L10_W02.tif : ಸ್ಟೋನಿಯರ್
219_P053_B4_L01_W06.tif : ಕ್ರಮದಲ್ಲಿ
219_P053_B4_L02_W03.tif : ಎನ್ನುವುದು
219_P053_B4_L05_W06.tif : ಮರೆಯಕೂಡದು
219_P053_B5_L01_W03.tif : ಪ್ರಕರ
219_P053_B5_L03_W04.tif : ಪೈಪೋಟಿಯನ್ನು
219_P053_B5_L04_W03.tif : ಅಲ್ಪಾವಧಿ
219_P053_B5_L04_W06.tif : ಪೂರ್ಣವದುದು.
219_P053_B5_L05_W02.tif : ಉದ್ಭವಿಸುತ್ತದೆ.
219_P053_B5_L05_W03.tif : ಆದುದರಿಂದ
219_P053_B5_L05_W05.tif : ತತ್ವವು
219_P053_B5_L06_W01.tif : ಅವಾಸ್ತಕವೆನಿಸಿದೆ.
219_P053_B6_L01_W03.tif : ದೇಶದಲ್ಲೂ
219_P053_B6_L01_W05.tif : ಭೂಮಿ
219_P055_B2_L01_W07.tif : ಬಹು
219_P055_B2_L02_W03.tif : ವತ್ರವಲ್ಲ,
219_P055_B3_L04_W07.tif : ಕಾರಣವಾಗುದಿಲ್ಲ,
219_P055_B4_L02_W02.tif : ಮುಲೆಗಲ್ಲು
219_P055_B4_L03_W05.tif : ಕ್ರಾಂತಿಕಾರಿ
219_P055_B4_L04_W05.tif : ಕಾರಣವಾಗಿದೆ
219_P055_B7_L04_W05.tif : ಬೆಕಾದಸ್ಟು
219_P055_B8_L03_W04.tif : ಮೇಲೆ
219_P055_B8_L03_W07.tif : ಆಹಾರೊತ್ವನ್ನ
219_P056_B2_L01_W04.tif : ಅಧಿಕವಾದಗ,
219_P056_B2_L01_W06.tif : ಕುಟುಂಬದ
219_P056_B2_L02_W01.tif : ಯಾಗಿರುತ್ತದೆ.
219_P056_B2_L04_W01.tif : ಸಂಖ್ಯೆಯನ್ನು
219_P056_B4_L04_W02.tif : ನೀಡುವ
219_P056_B6_L06_W03.tif : ಸನ್ವಯದಲ್ಲಿ
219_P056_B6_L06_W06.tif : ರಿಕಾರ್ಡೋ
219_P056_B6_L11_W07.tif : ಬಂಡವಾಳಶಾಹಿ
219_P057_B2_L01_W06.tif : ಕಾರ್ಲ್
219_P057_B2_L02_W04.tif : ಬಳಸಿಕೊಂಡು
219_P057_B2_L03_W04.tif : ಎಂದು
219_P057_B4_L03_W05.tif : ರಿಕರ್ಡೋ
219_P057_B4_L04_W03.tif : ತೋರಿಸುತ್ತಾನೆ.
219_P057_B4_L06_W04.tif : ಲಾಭವನ್ನು
219_P057_B5_L02_W01.tif : ರಿಕಾರ್ಡೋ
219_P057_B5_L04_W06.tif : ತೋರಿಸಿಕೊಟ್ಟಿದ್ದಾರೆ
219_P057_B6_L06_W04.tif : ಸಾಗಿಸುತ್ತವೆ.
219_P058_B2_L03_W07.tif : ಉತ್ಪನ್ನಕ್ಕಿಂತ
219_P058_B2_L05_W05.tif : ಉದ್ಭವವಾಗುತ್ತದೆ.
219_P058_B2_L06_W01.tif : ಅದಿಕ್ಯದಿಂದಾಗಿ
219_P058_B2_L08_W04.tif : ವೆ
219_P058_B2_L08_W06.tif : ಅಧಿಕವಾ
219_P058_B3_L03_W03.tif : ಮುಂತಾದ
219_P058_B3_L03_W06.tif : ಪರಿಣಾಮವಾಗಿ
219_P058_B3_L04_W01.tif : ಮತ್ತು
219_P058_B5_L01_W03.tif : ಉಪಯೋಗದ
219_P058_B5_L02_W03.tif : ಉಪಯೋಗವನ್ನು
219_P059_B2_L01_W01.tif : ಪೈಪೋಟಿಯ
219_P059_B2_L01_W04.tif : ಉತ್ಪಾದನಾ
219_P059_B3_L01_W02.tif : ಉಪಯೋಗದ
219_P059_B3_L08_W06.tif : ಹೆಚ್ಚಾದರೆ,
219_P059_B3_L09_W03.tif : ಸುಧಾರಣೆಯಗುತ್ತದೆ.
219_P059_B4_L02_W04.tif : ಯಂತ್ರಗಳ
219_P059_B6_L02_W03.tif : ದೊಡ್ಡ
219_P059_B6_L02_W05.tif : ಎಂದು
219_P059_B6_L02_W08.tif : ಮತ್ತು
219_P060_B3_L01_W03.tif : “ಸ್ಮಿತ್ನ
219_P060_B4_L05_W03.tif : ಈ
219_P060_B4_L06_W04.tif : “ಅರ್ಥವಿಜ್ಞಾನದ
219_P060_B5_L06_W01.tif : ತತ್ವಗಳದವು.
219_P060_B5_L06_W03.tif : ಕೂಲಿ
219_P060_B5_L06_W04.tif : ಮತ್ತು
219_P060_B5_L09_W04.tif : “ಮಾರ್ಕ್ಸ್
219_P060_B5_L12_W02.tif : ಉಪಕಾರ.
219_P061_B1_L01_W01.tif : ಥಾಮಸ್
219_P061_B2_L03_W02.tif : ಸ್ಮಿತ್,
219_P061_B2_L05_W01.tif : ಹೊಂದಿದ್ದು
219_P061_B2_L06_W04.tif : ಮೊದಲಿಗ”
219_P061_B2_L08_W02.tif : ಮೊದಲ
219_P061_B2_L13_W06.tif : ಧರ್ಮ
219_P064_B2_L01_W01.tif : ಗತಿಯಲ್ಲೂ
219_P064_B2_L06_W02.tif : ಜನಸಂಖ್ಯೆಯು
219_P064_B2_L07_W07.tif : ಕ್ರಮದಲ್ಲಿ
